一
乙
九
七
十
人
二
入
八
力
刀
丁
又
了
乃
卜
下
口
三
山
子
女
小
上
夕
千
川
大
土
丸
弓
工
才
万
士
久
干
己
寸
亡
及
丈
凡
与
刃
巾
乞
叉
之
巳
勺
也
已
円
王
火
月
犬
五
手
水
中
天
日
木
文
六
引
牛
今
元
戸
午
公
止
少
心
切
太
内
父
分
方
毛
友
区
化
反
予
欠
氏
不
夫
支
比
仏
尺
収
仁
介
刈
凶
互
井
丹
匹
斤
幻
孔
冗
双
斗
乏
升
弔
屯
厄
牙
勾
爪
匂
片
允
云
廿
壬
丑
巴
勿
匁
尤
玉
左
四
出
正
生
石
田
白
本
目
右
立
外
兄
古
広
矢
市
台
冬
半
母
北
用
央
去
号
皿
仕
写
主
申
世
他
打
代
皮
氷
平
由
礼
以
加
功
札
史
司
失
必
付
辺
包
末
未
民
令
圧
永
可
刊
旧
句
示
犯
布
弁
穴
冊
処
庁
幼
甘
丘
巨
玄
込
召
占
奴
払
矛
甲
巧
斥
凹
且
囚
汁
仙
凸
尼
丙
瓦
叱
尻
旦
丼
氾
禾
叶
弘
乎
仔
只
疋
凧
汀
戊
卯
休
気
糸
字
耳
先
早
竹
虫
年
百
名
羽
会
回
交
光
考
行
合
寺
自
色
西
多
池
地
当
同
肉
米
毎
安
曲
血
向
死
次
式
守
州
全
有
羊
両
列
衣
印
各
共
好
成
争
仲
兆
伝
灯
老
因
仮
件
再
在
舌
団
任
宇
灰
危
机
吸
后
至
存
宅
扱
芋
汚
汗
朽
叫
仰
旨
芝
朱
舟
巡
旬
尽
吐
弐
忙
劣
企
吉
刑
如
匠
伐
帆
伏
吏
缶
江
充
迅
壮
肌
妃
朴
妄
伎
臼
汎
伊
夷
曳
亦
瓜
亥
匡
旭
圭
伍
亙
亘
弛
此
而
汝
丞
庄
汐
尖
托
辻
凪
牟
肋
收
花
貝
見
車
赤
足
村
男
町
何
角
汽
近
形
言
谷
作
社
図
声
走
体
弟
売
麦
来
里
医
究
局
君
決
住
助
身
対
投
豆
坂
返
役
位
囲
改
完
希
求
芸
告
材
児
初
臣
折
束
低
努
兵
別
利
良
冷
労
応
快
技
均
災
志
似
序
状
条
判
防
余
我
系
孝
困
私
否
批
忘
卵
乱
壱
戒
含
却
狂
迎
更
抗
攻
伺
秀
床
吹
即
沢
沖
沈
抜
尾
坊
妙
肝
忌
岐
坑
克
寿
伸
辛
択
尿
伴
芳
邦
妨
没
抑
励
亜
吟
呉
佐
肖
抄
杉
妥
但
呈
廷
忍
妊
把
伯
扶
戻
串
沙
芯
汰
那
阪
肘
冶
妖
沃
呂
弄
杏
佑
迂
邑
伽
芥
迄
汲
灸
玖
亨
劫
芹
冴
吾
宏
坐
孜
灼
杖
辰
杜
宋
佃
辿
兎
沌
芭
庇
甫
芙
吻
牡
酉
李
伶
巫
芦
佛
壯
吞
步
每
雨
学
空
金
青
林
画
岩
京
国
姉
知
長
直
店
東
歩
妹
明
門
夜
委
育
泳
岸
苦
具
幸
始
使
事
実
者
昔
取
受
所
注
定
波
板
表
服
物
放
味
命
油
和
英
果
芽
官
季
泣
協
径
固
刷
参
治
周
松
卒
底
的
典
毒
念
府
法
牧
例
易
往
価
河
居
券
効
妻
枝
舎
述
承
招
性
制
版
肥
非
武
沿
延
拡
供
呼
刻
若
宗
垂
担
宙
忠
届
乳
拝
並
宝
枚
依
押
奇
祈
拠
況
屈
肩
刺
沼
征
姓
拓
抵
到
突
杯
泊
拍
迫
彼
怖
抱
肪
茂
炎
欧
殴
佳
怪
岳
拘
祉
侍
邪
昇
炊
阻
卓
抽
泌
苗
奉
房
免
炉
拐
劾
宜
拒
享
茎
弦
肯
昆
肢
叔
尚
枢
斉
析
拙
坪
邸
泥
迭
披
附
侮
沸
併
泡
奔
抹
岬
盲
枠
宛
旺
岡
苛
玩
股
虎
采
刹
呪
狙
妬
奈
阜
枕
弥
拉
阿
苑
奄
於
茄
侃
函
其
祁
尭
欣
庚
昂
杭
肴
忽
昏
些
竺
杵
昌
帖
陀
苔
坦
宕
沓
杷
枇
斧
朋
孟
茅
沫
怜
或
侑
昊
茉
苺
迪
穹
來
亞
兒
拔
卷
拂
爭
卑
社
狀
音
草
科
海
活
計
後
室
首
秋
春
食
星
前
茶
昼
点
南
風
屋
界
客
急
級
係
県
研
指
持
拾
重
昭
乗
神
相
送
待
炭
柱
追
度
畑
発
美
秒
品
負
面
洋
胃
栄
紀
軍
型
建
律
昨
祝
省
信
浅
単
飛
変
便
約
勇
要
逆
限
故
厚
査
政
祖
則
退
独
保
迷
映
革
看
巻
皇
紅
砂
姿
城
専
宣
染
泉
洗
奏
段
派
肺
背
威
為
皆
狭
枯
荒
香
恒
咲
狩
柔
盾
侵
是
俗
耐
珍
怒
逃
峠
柄
冒
盆
郎
哀
卸
架
悔
冠
軌
虐
峡
契
弧
孤
郊
恨
削
施
牲
促
胎
怠
胆
訂
帝
卑
赴
封
胞
某
幽
厘
姻
疫
垣
括
糾
挟
洪
侯
拷
砕
臭
俊
叙
浄
津
甚
帥
窃
荘
衷
挑
勅
亭
貞
洞
柳
畏
茨
咽
怨
柿
柵
拶
拭
栃
虹
眉
訃
勃
昧
侶
思
娃
按
郁
胤
胡
廻
珂
迦
俄
臥
恢
恰
柑
竿
祇
衿
頁
彦
巷
哉
珊
柘
柊
洲
茸
穿
茜
殆
祢
姪
盃
柏
毘
姥
柾
俣
籾
耶
柚
宥
祐
洛
亮
玲
俐
勁
奎
昴
洸
洵
珈
珀
拜
恆
侮
勉
祈
祉
突
者
俠
卽
校
家
夏
記
帰
原
高
紙
時
弱
書
通
馬
院
員
荷
起
宮
庫
根
酒
消
真
息
速
庭
島
配
倍
病
勉
旅
流
案
害
挙
訓
郡
候
航
差
殺
残
借
笑
席
倉
孫
帯
徒
特
梅
粉
脈
浴
料
連
益
桜
恩
格
個
耕
財
師
修
素
造
能
破
俵
容
留
株
胸
降
骨
座
蚕
射
従
純
除
将
針
値
展
党
討
納
俳
班
秘
陛
鬼
恐
恵
兼
軒
剣
剤
脂
称
浸
振
陣
扇
恥
致
途
透
唐
桃
倒
胴
悩
般
被
疲
浜
敏
浮
捕
峰
砲
眠
娘
紋
涙
烈
恋
朗
悦
宴
華
既
脅
倹
悟
娯
疾
殊
徐
辱
粋
衰
隻
桑
託
畜
哲
凍
匿
畔
姫
紛
倣
埋
浪
翁
蚊
核
陥
飢
恭
貢
剛
唆
栽
宰
索
桟
酌
珠
准
殉
祥
症
宵
娠
唇
畝
逝
栓
租
捜
挿
泰
逐
秩
朕
逓
浦
俸
剖
紡
耗
竜
倫
挨
唄
俺
釜
桁
拳
挫
恣
袖
凄
脊
捉
酎
捗
哺
冥
脇
倭
烏
峨
桧
莞
桔
笈
矩
桂
倦
倖
晃
浩
紘
紗
晒
柴
栖
朔
窄
砥
紐
峻
隼
恕
哨
秤
晋
秦
訊
屑
閃
悌
啄
耽
挺
釘
砧
荻
套
桐
莫
畠
挽
豹
娩
圃
峯
哩
栗
浬
凌
狼
晟
晏
栞
莉
赳
氣
乘
凉
莊
祕
峽
眞
晄
狹
神
悔
海
祐
祖
祝
臭
郞
俱
涉
剝
魚
教
強
黄
黒
細
週
雪
船
組
鳥
野
理
悪
球
祭
習
終
宿
章
商
進
深
族
第
帳
笛
転
都
動
部
問
貨
械
救
健
康
菜
産
唱
清
巣
側
停
堂
